"dia","time_casa","gols_casa","gols_fora","time_fora","ano","r_timecasa","r_timefora"
"1971-11-28","palmeiras",3,1,"gremio",1971,,
"1971-11-28","vasco",0,0,"santos",1971,,
"1971-11-28","coritiba",1,0,"botafogo",1971,,
"1971-11-28","cruzeiro",1,0,"corinthians",1971,,
"1971-11-28","internacional",1,4,"atleticomg",1971,,
"1971-12-01","internacional",3,0,"vasco",1971,,
"1971-12-01","saopaulo",1,1,"cruzeiro",1971,,
"1971-12-01","atleticomg",2,0,"santos",1971,,
"1971-12-01","americarj",3,1,"corinthians",1971,,
"1971-12-02","palmeiras",0,1,"botafogo",1971,,
"1971-12-02","gremio",2,0,"coritiba",1971,,
"1971-12-04","vasco",1,1,"atleticomg",1971,,
"1971-12-04","corinthians",0,0,"saopaulo",1971,,
"1971-12-05","botafogo",3,1,"gremio",1971,,
"1971-12-05","coritiba",0,0,"palmeiras",1971,,
"1971-12-05","santos",0,1,"internacional",1971,,
"1971-12-05","cruzeiro",0,0,"americarj",1971,,
"1971-12-07","saopaulo",1,1,"americarj",1971,,
"1971-12-08","corinthians",2,0,"cruzeiro",1971,,
"1971-12-09","atleticomg",0,1,"internacional",1971,,
"1971-12-09","santos",4,0,"vasco",1971,,
"1971-12-09","botafogo",3,0,"coritiba",1971,,
"1971-12-09","gremio",0,0,"palmeiras",1971,,
"1971-12-12","atleticomg",1,0,"saopaulo",1971,,
"1971-12-15","saopaulo",4,1,"botafogo",1971,,
"1971-12-19","botafogo",0,1,"atleticomg",1971,,
"1972-09-09","vitoria",0,0,"remo",1972,,
"1972-09-09","botafogo",1,1,"santos",1972,,
"1972-09-09","cruzeiro",0,0,"americamg",1972,,
"1972-09-10","santacruz",0,0,"nautico",1972,,
"1972-09-10","coritiba",1,0,"palmeiras",1972,,
"1972-09-10","sergipe",1,3,"ceara",1972,,
"1972-09-10","gremio",2,0,"saopaulo",1972,,
"1972-09-10","atleticomg",0,1,"vasco",1972,,
"1972-09-10","flamengo",1,1,"americarj",1972,,
"1972-09-10","corinthians",1,1,"fluminense",1972,,
"1972-09-10","bahia",1,0,"nacional",1972,,
"1972-09-10","abc",0,0,"crb",1972,,
"1972-09-13","nautico",1,2,"cruzeiro",1972,,
"1972-09-13","ceara",3,1,"internacional",1972,,
"1972-09-13","americamg",0,0,"corinthians",1972,,
"1972-09-13","remo",0,0,"vasco",1972,,
"1972-09-13","bahia",0,0,"americarj",1972,,
"1972-09-13","portuguesa",0,1,"santacruz",1972,,
"1972-09-13","coritiba",0,0,"botafogo",1972,,
"1972-09-13","gremio",1,0,"atleticomg",1972,,
"1972-09-13","nacional",0,0,"flamengo",1972,,
"1972-09-13","sergipe",0,1,"santos",1972,,
"1972-09-13","crb",0,2,"fluminense",1972,,
"1972-09-13","abc",0,3,"saopaulo",1972,,
"1972-09-14","vitoria",0,3,"palmeiras",1972,,
"1972-09-16","nautico",0,1,"fluminense",1972,,
"1972-09-17","ceara",1,1,"saopaulo",1972,,
"1972-09-17","abc",1,2,"internacional",1972,,
"1972-09-17","crb",1,4,"cruzeiro",1972,,
"1972-09-17","sergipe",1,1,"palmeiras",1972,,
"1972-09-17","corinthians",1,1,"atleticomg",1972,,
"1972-09-17","vitoria",1,0,"santos",1972,,
"1972-09-17","remo",1,0,"flamengo",1972,,
"1972-09-17","coritiba",1,0,"bahia",1972,,
"1972-09-17","nacional",1,3,"vasco",1972,,
