"","time","rating_sem_k","rating_com_k25","dia","ano"
"777","corinthians",1140.69659766005,1228.01002930425,"04/10/1987",1987
"778","corinthians",1140.67663477504,1227.00545458177,"08/10/1987",1987
"779","corinthians",1139.64967452831,1205.36034517493,"11/10/1987",1987
"780","corinthians",1140.08097251573,1219.92932367502,"28/10/1987",1987
"781","corinthians",1139.91495227928,1214.88805140892,"08/11/1987",1987
"782","corinthians",1138.81247879264,1196.41805402071,"19/11/1987",1987
"783","corinthians",1137.63451507892,1178.94082035369,"11/09/1988",1988
"784","corinthians",1136.94934025302,1170.5238139565,"25/09/1988",1988
"785","corinthians",1136.86023791075,1169.26880164028,"02/10/1988",1988
"786","corinthians",1136.14705741528,1152.26362194637,"09/10/1988",1988
"787","corinthians",1135.38421299571,1144.45684352524,"06/11/1988",1988
"788","corinthians",1134.81023280778,1131.59784070626,"09/11/1988",1988
"789","corinthians",1135.45125819117,1148.7299609955,"13/11/1988",1988
"790","corinthians",1135.83819557283,1161.98750120669,"20/11/1988",1988
"791","corinthians",1135.55999277128,1158.50806725167,"27/11/1988",1988
"792","corinthians",1136.41098929185,1186.12669783523,"11/12/1988",1988
"793","corinthians",1135.7350083574,1174.63799282168,"18/12/1988",1988
"794","corinthians",1135.23942698136,1173.0410461589,"09/09/1989",1989
"795","corinthians",1135.68670169097,1188.74631914138,"17/09/1989",1989
"796","corinthians",1135.02194327065,1172.5968274267,"20/09/1989",1989
"797","corinthians",1135.92502987604,1204.78727911132,"04/10/1989",1989
"798","corinthians",1136.84252981294,1230.33384773943,"18/10/1989",1989
"799","corinthians",1136.05499222149,1213.01675943419,"12/11/1989",1989
"800","corinthians",1136.00088691894,1213.88758558621,"19/11/1989",1989
"801","corinthians",1135.07897709678,1193.29486048569,"25/11/1989",1989
"802","corinthians",1135.44322281952,1210.31195939879,"10/12/1989",1989
"803","corinthians",1134.52125790523,1189.48599525224,"19/08/1990",1990
"804","corinthians",1133.82850798923,1176.50867470654,"02/09/1990",1990
"805","corinthians",1134.67265401776,1199.20222653306,"16/09/1990",1990
"806","corinthians",1135.05677563953,1214.82962006246,"23/09/1990",1990
"807","corinthians",1135.82249120971,1237.91728202885,"04/10/1990",1990
"808","corinthians",1135.97519995832,1242.01498882354,"10/10/1990",1990
"809","corinthians",1135.22636389789,1227.36022795994,"24/10/1990",1990
"810","corinthians",1134.62033630571,1219.80746606,"11/11/1990",1990
"811","corinthians",1135.35267537268,1242.43861492093,"14/11/1990",1990
"812","corinthians",1134.95463469778,1234.88692085468,"02/12/1990",1990
"813","corinthians",1135.27141067038,1247.43204953798,"09/12/1990",1990
"814","corinthians",1135.71082425781,1262.11914988077,"13/12/1990",1990
"815","corinthians",1134.94614077357,1246.65076288072,"06/02/1991",1991
"816","corinthians",1135.78207468634,1272.40698663898,"02/03/1991",1991
"817","corinthians",1136.49318140408,1288.41682467496,"09/03/1991",1991
"818","corinthians",1137.05324004286,1304.0225924888,"31/03/1991",1991
"819","corinthians",1136.88346909306,1300.74192077542,"02/04/1991",1991
"820","corinthians",1136.1545771719,1287.15687899094,"13/04/1991",1991
"821","corinthians",1136.04962312995,1286.61429571427,"27/04/1991",1991
"822","corinthians",1136.96749538796,1310.45680743505,"05/05/1991",1991
"823","corinthians",1136.87480823662,1309.23592539029,"11/05/1991",1991
"824","corinthians",1136.65594658175,1307.14664458923,"10/02/1992",1992
"825","corinthians",1137.21737550463,1322.64169587577,"22/02/1992",1992
"826","corinthians",1137.33575341946,1322.97479050311,"21/03/1992",1992
"827","corinthians",1137.2760361851,1323.98956821556,"25/03/1992",1992
"828","corinthians",1137.7962526871,1335.04899926695,"29/03/1992",1992
"829","corinthians",1138.4048487567,1350.39864468299,"06/04/1992",1992
"830","corinthians",1136.92148887482,1315.51265549737,"18/04/1992",1992
"831","corinthians",1136.74592366371,1312.88166359683,"04/05/1992",1992
"832","corinthians",1135.74408799627,1289.43284417734,"09/05/1992",1992
"833","corinthians",1136.59799476447,1310.53623435444,"31/05/1992",1992
"834","corinthians",1135.92137821152,1296.26865103162,"07/06/1992",1992
"835","corinthians",1136.07508861709,1301.04851364136,"20/06/1992",1992
"836","corinthians",1136.05119733639,1303.28418485628,"09/07/1992",1992
"837","corinthians",1136.77232361149,1319.32743433158,"07/09/1993",1993
"838","corinthians",1136.71399237516,1320.45033071373,"12/09/1993",1993
"839","corinthians",1137.14301125398,1332.00942679608,"20/09/1993",1993
"840","corinthians",1136.96728435599,1330.41410988353,"25/09/1993",1993
"841","corinthians",1137.57438857168,1344.40111152269,"29/09/1993",1993
"842","corinthians",1139.96820474145,1400.88337052499,"25/10/1993",1993
"843","corinthians",1141.51217502955,1436.21591943545,"14/11/1993",1993
"844","corinthians",1141.30181648238,1429.00083441849,"24/11/1993",1993
"845","corinthians",1141.247481738,1427.69393038795,"28/11/1993",1993
"846","corinthians",1141.48383819416,1432.39927355298,"08/12/1993",1993
"847","corinthians",1141.29713295407,1425.23620187827,"13/08/1994",1994
